Territorio,Atividades,Mes_Ano,Indice,Data,Ano
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",agosto 2024,111.28112,2024-08-01,2024
Brasil,Hipermercados e supermercados,agosto 2024,112.47525,2024-08-01,2024
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",setembro 2024,105.46537,2024-09-01,2024
Brasil,Hipermercados e supermercados,setembro 2024,106.67508,2024-09-01,2024
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",outubro 2024,110.39785,2024-10-01,2024
Brasil,Hipermercados e supermercados,outubro 2024,111.31346,2024-10-01,2024
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",novembro 2024,112.92735,2024-11-01,2024
Brasil,Hipermercados e supermercados,novembro 2024,114.45993,2024-11-01,2024
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",dezembro 2024,127.20855,2024-12-01,2024
Brasil,Hipermercados e supermercados,dezembro 2024,128.78537,2024-12-01,2024
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",janeiro 2025,104.99217,2025-01-01,2025
Brasil,Hipermercados e supermercados,janeiro 2025,106.45844,2025-01-01,2025
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",fevereiro 2025,101.14034,2025-02-01,2025
Brasil,Hipermercados e supermercados,fevereiro 2025,102.36767,2025-02-01,2025
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",março 2025,108.94951,2025-03-01,2025
Brasil,Hipermercados e supermercados,março 2025,110.04474,2025-03-01,2025
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",abril 2025,109.38155,2025-04-01,2025
Brasil,Hipermercados e supermercados,abril 2025,111.12142,2025-04-01,2025
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",maio 2025,109.36831,2025-05-01,2025
Brasil,Hipermercados e supermercados,maio 2025,110.5434,2025-05-01,2025
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",junho 2025,102.91958,2025-06-01,2025
Brasil,Hipermercados e supermercados,junho 2025,103.88618,2025-06-01,2025
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",julho 2025,107.0789,2025-07-01,2025
Brasil,Hipermercados e supermercados,julho 2025,108.23723,2025-07-01,2025
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",agosto 2025,110.7247,2025-08-01,2025
Brasil,Hipermercados e supermercados,agosto 2025,112.19433,2025-08-01,2025
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",setembro 2025,104.80687,2025-09-01,2025
Brasil,Hipermercados e supermercados,setembro 2025,106.15169,2025-09-01,2025
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",outubro 2025,110.43216,2025-10-01,2025
Brasil,Hipermercados e supermercados,outubro 2025,111.75774,2025-10-01,2025
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",novembro 2025,112.98795,2025-11-01,2025
Brasil,Hipermercados e supermercados,novembro 2025,114.65711,2025-11-01,2025
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",dezembro 2025,128.87705,2025-12-01,2025
Brasil,Hipermercados e supermercados,dezembro 2025,130.44854,2025-12-01,2025
